tahun,bulan ,tempat_wisata,jumlah
2018,12,Taman Impian Jaya Ancol,1801476
2018,12,Taman Mini Indonesia Indah,567401
2018,12,Taman Margasatwa Ragunan,402761
2018,12,Monumen Nasional,257071
2018,12,Museum Nasional,26445
2018,12,Museum Satria Mandala,461
2018,12,Museum Sejarah Jakarta,140768
2018,12,Museum Tekstil,4301
2018,12,Museum Bahari,3475
2018,12,Museum Seni Rupa dan Keramik,27526
2018,12,Museum Wayang,50245
2018,12,Museum Joang 45 dan Thamrin,4110
2018,12,Taman Arkeologi Onrust,3876
2018,12,Pelabuhan Sunda Kelapa,4254
2018,12,Kepulauan Seribu,43280
2018,12,PBB Setu babakan,35830
2018,12,Museum Prasasti,3195
2018,12,Planetarium,23190
2018,12,Rumah si Pitung,3435
