Bulan;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Januari; 167 106; 174 515; 202 857; 181 266; 225 955; 264 915; 349 575; 280 588; 333 199; 426 360; 517 500; 528 506; 597 558; 658 308; 743 456; 793 527; 879 702; 282 248
Pebruari; 133 660; 161 808; 161 413; 144 425; 190 792; 204 419; 238 789; 340 508; 305 934; 369 525; 296 581; 483 221; 513 852; 520 462; 655 719; 692 113; 721 105; 240 608
Maret; 118 369; 194 411; 171 795; 161 009; 221 181; 255 203; 202 995; 358 313; 307 616; 431 393; 255 403; 503 311; 576 438; 618 834; 762 622; 787 616; 567 452; 305 579
April; 129 730; 174 033; 192 182; 165 509; 206 631; 247 100; 396 898; 385 228; 331 378; 403 211; 318 800; 528 668; 534 395; 705 710; 777 287; 795 997; 175 120; 330 593
Mei; 142 186; 190 855; 188 152; 183 736; 226 339; 289 635; 421 369; 463 452; 525 076; 456 491; 385 366; 651 089; 647 790; 646 467; 682 521; 656 082; 101 948; 363 959
Juni; 167 718; 201 990; 204 284; 214 957; 256 448; 304 213; 455 456; 568 264; 569 635; 785 053; 667 201; 571 646;1 035 563; 659 718;1 156 151;1 287 877; 137 395; 498 852
Juli; 212 463; 254 264; 245 909; 244 032; 329 362; 340 610; 489 307; 573 103; 524 334; 474 769; 682 941; 799 765;1 084 950; 890 368; 906 347; 935 930; 229 112; 166 718
Agustus; 171 034; 217 782; 218 117; 217 822; 259 511; 280 972; 377 570; 440 751; 661 334; 878 278; 843 958; 641 684; 704 662; 790 323; 770 364; 925 360; 355 732; 202 187
September; 168 420; 218 382; 196 167; 181 846; 205 304; 352 257; 594 662; 609 633; 572 359; 473 697; 615 429; 557 081; 725 240; 832 026; 774 144; 812 003; 283 349; 298 950
Oktober; 150 827; 168 684; 238 721; 299 724; 306 112; 330 337; 391 722; 526 302; 667 703; 758 351; 549 998; 619 599; 685 244; 732 720; 762 124; 853 007; 337 304; 468 826
Nopember; 269 132; 259 543; 234 308; 204 579; 203 416; 285 526; 361 395; 574 016; 545 348; 678 748; 468 743; 529 381; 655 962; 741 649; 806 397; 852 626; 425 097; 513 482
Desember; 207 541; 192 242; 220 882; 285 739; 267 742; 365 948; 366 605; 554 963; 719 642; 840 660; 792 387; 733 149; 882 026; 939 048; 960 859;1 152 901; 382 841; 629 590
